Username,recipeLabel
test1,potato
test1,red potato
test1,new potato
test1,potato bun
test1,potato cake
test1,potato chip
test1,baby potato
test1,potato puff
test1,potato roll
test1,potato skin
test1,cheese
test1,soy cheese
test1,blue cheese
test1,cheese nips
test1,jack cheese
test1,brie cheese
test1,cheese puff
test1,goat cheese
test1,feta cheese
test1,curd cheese
test1,oil
test1,oat oil
test1,palm oil
test1,corn oil
test1,olive oil
test1,grape oil
test1,sesame oil
test1,almond oil
test1,walnut oil
test1,tuna in oil
kiko713,cheese
kiko713,soy cheese
kiko713,blue cheese
kiko713,cheese nips
kiko713,jack cheese
kiko713,brie cheese
kiko713,cheese puff
kiko713,goat cheese
kiko713,feta cheese
kiko713,curd cheese
kiko713,hamburger
kiko713,hamburger bun
kiko713,hamburger buns
kiko713,hamburger roll
kiko713,hamburger meat
kiko713,fish hamburger
kiko713,buns for hamburgers
kiko713,lowfat hamburger bun
kiko713,low fat hamburger bun
kiko713,potato hamburger bun
kiko713,pasta
kiko713,ready pasta ziti pasta
kiko713,ready pasta pearl pasta
kiko713,egg pasta
kiko713,ready pasta bowtie pasta
kiko713,ready pasta bow tie pasta
kiko713,ready pasta rotini pasta
kiko713,ready pasta mezzani pasta
kiko713,corn pasta
kiko713,rice pasta
zdoubi,potato
zdoubi,red potato
zdoubi,new potato
zdoubi,potato bun
zdoubi,potato cake
zdoubi,potato chip
zdoubi,baby potato
zdoubi,potato puff
zdoubi,potato roll
zdoubi,potato skin
zdoubi,scrambled eggs
zdoubi,hard-boiled eggs
zdoubi,ener-g egg replacer for 2 eggs
zdoubi,ener-g egg replacer for 2 large eggs
zdoubi,egg
zdoubi,eggnog
zdoubi,egg nog
zdoubi,duck egg
zdoubi,egg yolk
zdoubi,egg tofu
zdoubi,egg bread
zdoubi,egg yolks
zdoubi,egg white
zdoubi,goose egg
admin,steak
admin,cod steak
admin,ryb steak
admin,rib steak
admin,cap steak
admin,ham steak
admin,veal steak
admin,flap steak
admin,lean steak
admin,clod steak
admin,cheese
admin,soy cheese
admin,blue cheese
admin,cheese nips
admin,jack cheese
admin,brie cheese
admin,cheese puff
admin,goat cheese
admin,feta cheese
admin,curd cheese
admin,pepper
admin,pepperoncini pepper
admin,peppers
admin,pepperoni
admin,hot pepper
admin,red pepper
admin,canned pepperoncini pepper
admin,pepperjack
admin,pepper jack
admin,peppercorn
admin,onion
admin,onions
admin,red onion
admin,onion bun
admin,onion roll
admin,baby onion
admin,bulb onion
admin,onion flake
admin,white onion
admin,sweet onion
admin,star anise
admin,schwartz star anise
admin,rice
admin,red rice
admin,rice cake
admin,rice chex
admin,rice milk
admin,rice bran
admin,rice bean
admin,rice wine
admin,rice skin
admin,wild rice
admin,corriander
admin,corriander leaves
admin,ginger
admin,ginger ale
admin,knob ginger
admin,gingerroot
admin,ginger root
admin,cube ginger
admin,wild ginger
admin,stem ginger
admin,ginger beer
admin,ginger snap
admin,ginger
admin,ginger ale
admin,knob ginger
admin,gingerroot
admin,ginger root
admin,cube ginger
admin,wild ginger
admin,stem ginger
admin,ginger beer
admin,ginger snap
admin,chili
admin,chilies
admin,red chili
admin,bird chili
admin,beef chili
admin,meat chili
admin,chili beans
admin,chili paste
admin,ancho chili
admin,green chili
admin,curry
admin,curry leaf
admin,curry tree
admin,curry paste
admin,curry powder
admin,curry leaves
admin,red curry paste
admin,thai red curry paste
admin,curry yogurt dressing
admin,schwartz curry powder hot
admin,cumin
admin,cumin seed
admin,schwartz cumin grd
admin,schwartz cumin seed
admin,corn
admin,corn oil
admin,corn orzo
admin,corn ziti
admin,corn udon
admin,corn risi
admin,corn pipe
admin,corn pici
admin,corn pops
admin,corn nuts
admin,lemon
admin,lemonade
admin,lemon soda
admin,lemon leaf
admin,lemon sole
admin,lemon mint
admin,lemon curd
admin,lemon balm
admin,lemon lime
admin,lemongras
admin,lemon juice
admin,meyer lemon juice
admin,lemons (juice only)
admin,juice of xxx lemon(s)
admin,canned lemon juice
admin,juice from xxx lemon(s)
admin,cran lemonade cranberry lemonade juice drink
admin,canned or bottled lemon juice
admin,ocean spray diet cran lemonade juice drink
admin,pepper
admin,pepperoncini pepper
admin,peppers
admin,pepperoni
admin,hot pepper
admin,red pepper
admin,canned pepperoncini pepper
admin,pepperjack
admin,pepper jack
admin,peppercorn
mMarshall,vanilla
mMarshall,vanilla bean
mMarshall,vanilla fudge
mMarshall,vanilla sugar
mMarshall,vanilla wafer
mMarshall,vanilla kefir
mMarshall,vanilla icing
mMarshall,vanilla wafers
mMarshall,vanilla yogurt
mMarshall,vanilla cupcake
mMarshall,cream
mMarshall,ice cream
mMarshall,soy cream
mMarshall,oat cream
mMarshall,sour cream
mMarshall,cream puff
mMarshall,cream soda
mMarshall,table cream
mMarshall,light cream
mMarshall,heavy cream
mMarshall,sugar
mMarshall,10x sugar
mMarshall,raw sugar
mMarshall,sugar cone
mMarshall,sugarcane
mMarshall,sugar cube
mMarshall,sugar snap
mMarshall,corn sugar
mMarshall,cane sugar
mMarshall,palm sugar
user,strawberry
user,strawberry jam
user,mock strawberry
user,strawberry tree
user,strawberry jello
user,strawberry jell-o
user,strawberry kefir
user,strawberry guava
user,garden strawberry
user,strawberry sorbet
user,peanut butter
user,peanut butter m&m's
user,peanut butter twix
user,peanut butter cups
user,peanut butter fudge
user,salted peanut butter
user,peanut butter cookie
user,peanut butter brittle
user,peanut butter twix bar
user,peanut butter patties
CIS480,steak
CIS480,cod steak
CIS480,ryb steak
CIS480,rib steak
CIS480,cap steak
CIS480,ham steak
CIS480,veal steak
CIS480,flap steak
CIS480,lean steak
CIS480,clod steak
CIS480,potato
CIS480,red potato
CIS480,new potato
CIS480,potato bun
CIS480,potato cake
CIS480,potato chip
CIS480,baby potato
CIS480,potato puff
CIS480,potato roll
CIS480,potato skin
CIS480,blueberry
CIS480,blueberry pie
CIS480,blueberry muffin
CIS480,blueberry waffle
CIS480,blueberry pancake
CIS480,blueberry muffin mix
CIS480,blueberry mini-muffin
CIS480,blueberry pie filling
CIS480,blueberry fruit filling
CIS480,canned blueberry pie filling
CIS480,flour
CIS480,oat flour
CIS480,soy flour
CIS480,rye flour
CIS480,rice flour
CIS480,flax flour
CIS480,corn flour
CIS480,teff flour
CIS480,cake flour
CIS480,gram flour
